 0 2.21 14
 0.00012 2.2 15
 0.00024 2.21 15.8
 0.00036 2.2 15.8
 0.00048 2.2 15.4
 0.0006 2.2 14.8
 0.00072 2.2 14.2
 0.00084 2.2 14
 0.00096 2.2 13.8
 0.00108 2.21 14
 0.0012 2.21 14.2
 0.00132 2.2 14.6
 0.00144 2.2 14.6
 0.00156 2.2 14.6
 0.00168 2.21 14.6
 0.0018 2.2 14.6
 0.00192 2.2 14.4
 0.00204 2.21 15
 0.00216 2.2 14.4
 0.00228 2.2 14.4
 0.0024 2.2 14.4
 0.00252 2.21 14.4
 0.00264 2.2 14.4
 0.00276 2.21 14.4
 0.00288 2.21 14.4
 0.003 2.51 14
 0.00312 2.51 13.6
 0.00324 2.5 13
 0.00336 2.51 12.6
 0.00348 2.51 12.2
 0.0036 2.51 11.8
 0.00372 2.51 11.6
 0.00384 2.51 11.6
 0.00396 2.51 11.8
 0.00408 2.51 12
 0.0042 2.5 12
 0.00432 2.51 12
 0.00444 2.51 12.2
 0.00456 2.5 12.2
 0.00468 2.5 12
 0.0048 2.51 12
 0.00492 2.51 12
 0.00504 2.51 12
 0.00516 2.51 11.8
 0.00528 2.51 12
 0.0054 2.51 12
 0.00552 2.51 12
 0.00564 2.21 12.4
 0.00576 2.2 13.4
 0.00588 2.21 14.4
 0.006 2.21 15.2
 0.00612 2.2 15.8
 0.00624 2.2 15.6
 0.00636 2.21 15.2
 0.00648 2.21 14.6
 0.0066 2.21 14.2
 0.00672 2.2 13.8
 0.00684 2.2 13.8
 0.00696 2.51 13.6
 0.00708 2.51 13.2
 0.0072 2.5 12.8
 0.00732 2.51 12.4
 0.00744 2.51 12
 0.00756 2.51 11.8
 0.00768 2.51 11.6
 0.0078 2.51 11.6
 0.00792 2.51 11.8
 0.00804 2.51 12
 0.00816 2.51 12.2
 0.00828 2.51 12.2
 0.0084 2.51 12.2
 0.00852 2.5 12.2
 0.00864 2.51 12
 0.00876 2.51 12
 0.00888 2.5 12
 0.009 2.51 12
 0.00912 2.51 12
 0.00924 2.51 12
 0.00936 2.51 12
 0.00948 2.51 12
 0.0096 2.21 12.4
 0.00972 2.2 13.4
 0.00984 2.2 14.4
 0.00996 2.2 15.2
